observation_name	100seq_sampleA1	100seq_sampleA2	100seq_sampleA3	100seq_sampleB1	100seq_sampleB2	100seq_sampleB3	100seq_sampleC1	100seq_sampleC2	100seq_sampleC3
Cluster_1	0	0	0	33	33	33	9	9	9
Cluster_2	4	4	4	1	1	1	0	0	0
Cluster_3	12	12	12	0	0	0	2	2	2
Cluster_4	25	25	25	0	0	0	0	0	0
Cluster_5	0	0	0	1	1	1	0	0	0
Cluster_6	1	1	1	0	0	0	0	0	0
Cluster_7	0	0	0	1	1	1	0	0	0
Cluster_8	0	0	0	0	0	0	1	1	1
Cluster_9	0	0	0	0	0	0	1	1	1
Cluster_10	0	0	0	1	1	1	0	0	0
Cluster_14	0	0	0	1	1	1	0	0	0
Cluster_15	0	0	0	0	0	0	1	1	1
Cluster_16	0	0	0	0	0	0	1	1	1
Cluster_17	0	0	0	0	0	0	10	10	10
Cluster_18	0	0	0	0	0	0	1	1	1
Cluster_19	0	0	0	0	0	0	1	1	1
Cluster_20	0	0	0	0	0	0	1	1	1
Cluster_21	2	2	2	0	0	0	1	1	1
Cluster_22	1	1	1	0	0	0	0	0	0
Cluster_23	1	1	1	0	0	0	0	0	0
Cluster_24	0	0	0	1	1	1	0	0	0
Cluster_25	0	0	0	0	0	0	1	1	1
Cluster_26	0	0	0	1	1	1	0	0	0
Cluster_27	0	0	0	4	4	4	0	0	0
Cluster_28	0	0	0	1	1	1	0	0	0
Cluster_29	0	0	0	0	0	0	1	1	1
Cluster_30	0	0	0	1	1	1	0	0	0
Cluster_31	0	0	0	1	1	1	0	0	0
Cluster_32	0	0	0	1	1	1	0	0	0
Cluster_33	1	1	1	0	0	0	0	0	0
Cluster_34	1	1	1	0	0	0	0	0	0
Cluster_35	0	0	0	1	1	1	0	0	0
Cluster_36	1	1	1	0	0	0	0	0	0
Cluster_37	0	0	0	1	1	1	0	0	0
Cluster_38	1	1	1	0	0	0	0	0	0
Cluster_39	1	1	1	0	0	0	0	0	0
Cluster_40	0	0	0	1	1	1	0	0	0
Cluster_41	0	0	0	1	1	1	0	0	0
Cluster_42	0	0	0	0	0	0	1	1	1
Cluster_43	1	1	1	0	0	0	0	0	0
Cluster_44	0	0	0	0	0	0	1	1	1
Cluster_45	6	6	6	1	1	1	1	1	1
Cluster_46	1	1	1	0	0	0	0	0	0
Cluster_47	0	0	0	0	0	0	1	1	1
Cluster_48	0	0	0	1	1	1	0	0	0
Cluster_49	0	0	0	1	1	1	0	0	0
Cluster_50	0	0	0	1	1	1	0	0	0
Cluster_51	1	1	1	0	0	0	0	0	0
Cluster_52	0	0	0	1	1	1	0	0	0
Cluster_53	0	0	0	1	1	1	0	0	0
Cluster_54	0	0	0	1	1	1	1	1	1
Cluster_55	0	0	0	0	0	0	1	1	1
Cluster_56	0	0	0	0	0	0	1	1	1
Cluster_57	0	0	0	0	0	0	1	1	1
Cluster_59	0	0	0	0	0	0	6	6	6
Cluster_60	0	0	0	0	0	0	1	1	1
Cluster_61	1	1	1	0	0	0	0	0	0
Cluster_62	0	0	0	1	1	1	0	0	0
Cluster_63	0	0	0	1	1	1	0	0	0
Cluster_64	0	0	0	1	1	1	0	0	0
Cluster_65	0	0	0	1	1	1	0	0	0
Cluster_66	0	0	0	1	1	1	0	0	0
Cluster_67	0	0	0	0	0	0	1	1	1
Cluster_68	0	0	0	0	0	0	1	1	1
Cluster_69	0	0	0	1	1	1	0	0	0
Cluster_70	0	0	0	1	1	1	0	0	0
Cluster_72	0	0	0	0	0	0	1	1	1
Cluster_73	0	0	0	1	1	1	0	0	0
Cluster_75	0	0	0	0	0	0	1	1	1
Cluster_76	1	1	1	0	0	0	29	29	29
Cluster_77	0	0	0	0	0	0	1	1	1
Cluster_78	0	0	0	0	0	0	1	1	1
Cluster_79	0	0	0	0	0	0	1	1	1
Cluster_80	0	0	0	0	0	0	1	1	1
Cluster_81	0	0	0	0	0	0	1	1	1
Cluster_82	0	0	0	0	0	0	1	1	1
Cluster_83	1	1	1	0	0	0	0	0	0
Cluster_85	0	0	0	1	1	1	0	0	0
Cluster_86	0	0	0	1	1	1	0	0	0
Cluster_87	0	0	0	1	1	1	0	0	0
Cluster_88	0	0	0	1	1	1	0	0	0
Cluster_89	0	0	0	1	1	1	0	0	0
Cluster_90	0	0	0	1	1	1	0	0	0
Cluster_91	0	0	0	1	1	1	0	0	0
Cluster_92	0	0	0	1	1	1	0	0	0
Cluster_93	0	0	0	0	0	0	1	1	1
Cluster_95	0	0	0	1	1	1	0	0	0
Cluster_96	0	0	0	1	1	1	0	0	0
Cluster_97	0	0	0	1	1	1	0	0	0
Cluster_98	1	1	1	0	0	0	0	0	0
Cluster_99	0	0	0	1	1	1	0	0	0
Cluster_100	0	0	0	1	1	1	0	0	0
Cluster_101	0	0	0	1	1	1	0	0	0
Cluster_102	0	0	0	1	1	1	0	0	0
Cluster_103	0	0	0	1	1	1	0	0	0
Cluster_104	0	0	0	1	1	1	0	0	0
Cluster_105	0	0	0	1	1	1	0	0	0
Cluster_106	1	1	1	0	0	0	0	0	0
Cluster_107	0	0	0	1	1	1	0	0	0
Cluster_108	0	0	0	1	1	1	0	0	0
Cluster_109	0	0	0	0	0	0	1	1	1
Cluster_110	0	0	0	0	0	0	1	1	1
Cluster_111	1	1	1	0	0	0	0	0	0
Cluster_112	0	0	0	1	1	1	0	0	0
Cluster_113	0	0	0	1	1	1	0	0	0
Cluster_114	0	0	0	1	1	1	0	0	0
Cluster_115	0	0	0	0	0	0	1	1	1
Cluster_116	0	0	0	1	1	1	0	0	0
Cluster_117	0	0	0	0	0	0	1	1	1
Cluster_118	0	0	0	1	1	1	0	0	0
Cluster_119	1	1	1	0	0	0	0	0	0
Cluster_120	1	1	1	0	0	0	0	0	0
Cluster_122	1	1	1	0	0	0	0	0	0
Cluster_123	1	1	1	0	0	0	0	0	0
Cluster_124	2	2	2	0	0	0	0	0	0
Cluster_125	1	1	1	0	0	0	0	0	0
Cluster_126	1	1	1	0	0	0	0	0	0
Cluster_127	0	0	0	0	0	0	1	1	1
Cluster_128	1	1	1	0	0	0	0	0	0
Cluster_129	0	0	0	0	0	0	1	1	1
Cluster_130	1	1	1	0	0	0	0	0	0
Cluster_131	1	1	1	0	0	0	0	0	0
Cluster_132	1	1	1	0	0	0	0	0	0
Cluster_133	0	0	0	0	0	0	1	1	1
Cluster_134	1	1	1	0	0	0	0	0	0
Cluster_135	1	1	1	0	0	0	0	0	0
Cluster_136	1	1	1	0	0	0	0	0	0
Cluster_137	1	1	1	0	0	0	0	0	0
Cluster_138	1	1	1	0	0	0	0	0	0
Cluster_139	0	0	0	1	1	1	0	0	0
Cluster_140	0	0	0	2	2	2	1	1	1
Cluster_141	1	1	1	0	0	0	0	0	0
Cluster_142	1	1	1	0	0	0	0	0	0
Cluster_143	1	1	1	0	0	0	0	0	0
Cluster_145	1	1	1	0	0	0	0	0	0
Cluster_146	1	1	1	0	0	0	0	0	0
Cluster_147	0	0	0	1	1	1	0	0	0
Cluster_148	1	1	1	0	0	0	0	0	0
Cluster_149	1	1	1	0	0	0	0	0	0
Cluster_150	1	1	1	0	0	0	0	0	0
Cluster_151	1	1	1	0	0	0	0	0	0
Cluster_152	1	1	1	0	0	0	0	0	0
Cluster_153	1	1	1	0	0	0	0	0	0
Cluster_154	1	1	1	0	0	0	0	0	0
Cluster_155	1	1	1	0	0	0	0	0	0
Cluster_156	0	0	0	1	1	1	0	0	0
Cluster_157	0	0	0	0	0	0	1	1	1
